DateTime,Away,Home
"Fri, Nov 29, 2013 7:00 pm",Miami Heat,Toronto Raptors
"Fri, Nov 29, 2013 9:00 pm",Phoenix Suns,Utah Jazz
"Sat, Nov 30, 2013 7:30 pm",Chicago Bulls,Cleveland Cavaliers
"Sat, Nov 30, 2013 8:30 pm",Minnesota Timberwolves,Dallas Mavericks
"Sat, Nov 30, 2013 8:00 pm",Brooklyn Nets,Memphis Grizzlies
"Sat, Nov 30, 2013 9:00 pm",Boston Celtics,Milwaukee Bucks
"Sat, Nov 30, 2013 9:00 pm",Utah Jazz,Phoenix Suns
"Sat, Nov 30, 2013 8:30 pm",Houston Rockets,San Antonio Spurs
"Sat, Nov 30, 2013 7:00 pm",Atlanta Hawks,Washington Wizards
"Sun, Dec 1, 2013 3:30 pm",Philadelphia 76ers,Detroit Pistons
"Sun, Dec 1, 2013 3:30 pm",Indiana Pacers,Los Angeles Clippers
"Sun, Dec 1, 2013 9:30 pm",Portland Trail Blazers,Los Angeles Lakers
"Sun, Dec 1, 2013 6:00 pm",Charlotte Bobcats,Miami Heat
"Sun, Dec 1, 2013 7:30 pm",New Orleans Pelicans,New York Knicks
"Sun, Dec 1, 2013 7:00 pm",Minnesota Timberwolves,Oklahoma City Thunder
"Sun, Dec 1, 2013 6:00 pm",Golden State Warriors,Sacramento Kings
"Sun, Dec 1, 2013 1:00 pm",Denver Nuggets,Toronto Raptors
"Mon, Dec 2, 2013 8:00 pm",New Orleans Pelicans,Chicago Bulls
"Mon, Dec 2, 2013 10:00 pm",Indiana Pacers,Portland Trail Blazers
"Mon, Dec 2, 2013 8:30 pm",Atlanta Hawks,San Antonio Spurs
"Mon, Dec 2, 2013 9:00 pm",Houston Rockets,Utah Jazz
"Mon, Dec 2, 2013 7:00 pm",Orlando Magic,Washington Wizards
"Tue, Dec 3, 2013 7:30 pm",Milwaukee Bucks,Boston Celtics
"Tue, Dec 3, 2013 7:30 pm",Denver Nuggets,Brooklyn Nets
"Tue, Dec 3, 2013 8:30 pm",Charlotte Bobcats,Dallas Mavericks
"Tue, Dec 3, 2013 10:30 pm",Toronto Raptors,Golden State Warriors
"Tue, Dec 3, 2013 8:00 pm",Phoenix Suns,Memphis Grizzlies
"Tue, Dec 3, 2013 7:30 pm",Detroit Pistons,Miami Heat
"Tue, Dec 3, 2013 7:00 pm",Orlando Magic,Philadelphia 76ers
"Tue, Dec 3, 2013 10:00 pm",Oklahoma City Thunder,Sacramento Kings
"Wed, Dec 4, 2013 7:30 pm",Los Angeles Clippers,Atlanta Hawks
"Wed, Dec 4, 2013 7:00 pm",Denver Nuggets,Cleveland Cavaliers
"Wed, Dec 4, 2013 8:00 pm",Phoenix Suns,Houston Rockets
"Wed, Dec 4, 2013 8:00 pm",Detroit Pistons,Milwaukee Bucks
"Wed, Dec 4, 2013 8:00 pm",Dallas Mavericks,New Orleans Pelicans
"Wed, Dec 4, 2013 10:00 pm",Oklahoma City Thunder,Portland Trail Blazers
"Wed, Dec 4, 2013 9:00 pm",Indiana Pacers,Utah Jazz
"Thu, Dec 5, 2013 7:00 pm",New York Knicks,Brooklyn Nets
"Thu, Dec 5, 2013 9:30 pm",Miami Heat,Chicago Bulls
"Thu, Dec 5, 2013 8:00 pm",Los Angeles Clippers,Memphis Grizzlies
"Fri, Dec 6, 2013 7:30 pm",Cleveland Cavaliers,Atlanta Hawks
"Fri, Dec 6, 2013 7:30 pm",Denver Nuggets,Boston Celtics
"Fri, Dec 6, 2013 7:00 pm",Philadelphia 76ers,Charlotte Bobcats
"Fri, Dec 6, 2013 8:00 pm",Golden State Warriors,Houston Rockets
"Fri, Dec 6, 2013 8:00 pm",Oklahoma City Thunder,New Orleans Pelicans
"Fri, Dec 6, 2013 7:30 pm",Orlando Magic,New York Knicks
"Fri, Dec 6, 2013 9:00 pm",Toronto Raptors,Phoenix Suns
"Fri, Dec 6, 2013 10:00 pm",Utah Jazz,Portland Trail Blazers
"Fri, Dec 6, 2013 10:00 pm",Los Angeles Lakers,Sacramento Kings
"Fri, Dec 6, 2013 7:00 pm",Milwaukee Bucks,Washington Wizards
"Sat, Dec 7, 2013 8:00 pm",Detroit Pistons,Chicago Bulls
"Sat, Dec 7, 2013 7:30 pm",Los Angeles Clippers,Cleveland Cavaliers
"Sat, Dec 7, 2013 8:00 pm",Golden State Warriors,Memphis Grizzlies
"Sat, Dec 7, 2013 8:30 pm",Brooklyn Nets,Milwaukee Bucks
"Sat, Dec 7, 2013 8:00 pm",Miami Heat,Minnesota Timberwolves
"Sat, Dec 7, 2013 7:00 pm",Denver Nuggets,Philadelphia 76ers
"Sat, Dec 7, 2013 10:00 pm",Dallas Mavericks,Portland Trail Blazers
"Sat, Dec 7, 2013 8:30 pm",Indiana Pacers,San Antonio Spurs
"Sat, Dec 7, 2013 9:00 pm",Sacramento Kings,Utah Jazz
"Sun, Dec 8, 2013 6:00 pm",Miami Heat,Detroit Pistons
"Sun, Dec 8, 2013 7:00 pm",Orlando Magic,Houston Rockets
"Sun, Dec 8, 2013 9:30 pm",Toronto Raptors,Los Angeles Lakers
"Sun, Dec 8, 2013 12:00 am",Boston Celtics,New York Knicks
