DateTime,Away,Home,Arena
2017-12-01 21:00:00,New Orleans Pelicans,Utah Jazz,Vivint Smart Home Arena
2017-12-02 13:00:00,Phoenix Suns,Boston Celtics,TD Garden
2017-12-02 14:00:00,Los Angeles Clippers,Dallas Mavericks,American Airlines Center
2017-12-02 15:00:00,Atlanta Hawks,Brooklyn Nets,Barclays Center
2017-12-02 19:30:00,Memphis Grizzlies,Cleveland Cavaliers,Quicken Loans Arena
2017-12-02 19:30:00,Detroit Pistons,Philadelphia 76ers,Wells Fargo Center
2017-12-02 20:30:00,Sacramento Kings,Milwaukee Bucks,BMO Harris Bradley Center
2017-12-02 21:00:00,Los Angeles Lakers,Denver Nuggets,Pepsi Center
2017-12-02 22:00:00,New Orleans Pelicans,Portland Trail Blazers,Moda Center
2017-12-03 15:30:00,Orlando Magic,New York Knicks,Madison Square Garden
2017-12-03 19:00:00,Golden State Warriors,Miami Heat,AmericanAirlines Arena
2017-12-03 19:00:00,Los Angeles Clippers,Minnesota Timberwolves,Target Center
2017-12-03 19:00:00,San Antonio Spurs,Oklahoma City Thunder,Chesapeake Energy Arena
2017-12-03 21:30:00,Houston Rockets,Los Angeles Lakers,Staples Center
2017-12-04 19:00:00,New York Knicks,Indiana Pacers,Bankers Life Fieldhouse
2017-12-04 19:00:00,Orlando Magic,Charlotte Hornets,Spectrum Center
